date,track,venue,state
2023-05-27,Hawker,Hawker,SA
2023-05-27,Innisfail,Innisfail,QLD
2023-05-27,Ipswich,Ipswich,QLD
2023-05-27,Mackay,Mackay,QLD
2023-05-27,Murray Bridge GH,Murray Bridge GH,SA
2023-05-27,Sandown-Hillside,Sandown,VIC
2023-05-27,Tambo,Tambo,QLD
2023-05-27,Toowoomba,Toowoomba,QLD
2023-05-27,Wandoan,Wandoan,QLD
2023-05-27,Wodonga,Wodonga,VIC
2023-05-28,Ballarat,Ballarat,VIC
2023-05-28,Horsham,Horsham,VIC
2023-05-28,Mt Gambier,Mt Gambier,SA
2023-05-28,Sunshine Coast,Sunshine Coast,QLD
2023-05-29,Pakenham Synthetic,Pakenham,VIC
2023-05-30,Hamilton,Hamilton,VIC
2023-05-30,Townsville,Townsville,QLD
2023-05-31,Doomben,Doomben,QLD
2023-05-31,Mornington,Mornington,VIC
2023-05-31,Strathalbyn,Strathalbyn,SA
2023-06-01,Echuca,Echuca,VIC
2023-06-01,Gatton,Gatton,QLD
2023-06-02,Pakenham Synthetic,Pakenham,VIC
2023-06-02,Rockhampton,Rockhampton,QLD
2023-06-02,Sunshine Coast,Sunshine Coast,QLD
2023-06-03,Bendigo,Bendigo,VIC
2023-06-03,Bowen,Bowen,QLD
2023-06-03,Cairns,Cairns,QLD
2023-06-03,Cunnamulla,Cunnamulla,QLD
2023-06-03,Eagle Farm,Eagle Farm,QLD
2023-06-03,Flemington,Flemington,VIC
2023-06-03,Gold Coast Poly,Gold Coast,QLD
